,E v RHE / (V),norm. activity / (A/F)
0,1.43912635282,0.02763409346373823
1,1.4191005151,0.0148241771489758
2,1.3891449498,0.0036757222079827844
3,1.3788982827999998,0.002020555995090375
4,1.3991898983000002,0.006220545812223596
5,1.3291543087599997,3.570783724273505e-05
6,1.3387194760799999,8.85811263998378e-05
7,1.34910014012,0.0002024030902225353
8,1.3594827854999998,0.0004949785492298658
9,1.3695832480199999,0.0010263511762034678
10,1.39963179284,0.005064223455531986
11,1.3893831424,0.002391476169086735
12,1.37952071862,0.00107509593098587
13,1.3695197984399998,0.0004439915687325716
14,1.35848453712,0.00018758013574759802
15,1.3493733942,8.041919303768985e-05
16,1.33863862878,3.782637143455926e-05
17,1.32840627116,2.237419110243561e-05
18,1.3292944475,2.7336132317869163e-05
19,1.33885297598,0.00012508988153453268
20,1.3485664857000002,0.00033845167910181295
21,1.35918854676,0.0008857757400197695
22,1.3683895015999998,0.001999528968262341
23,1.3792902719200002,0.004320506417842114
24,1.3897443803399998,0.008240440523822813
25,1.39970573544,0.014305746853017734
26,1.41881783412,0.0315047323277529
27,1.43813840596,0.05312480501908602
28,1.3991578131,0.01257011926619528
29,1.3792980168599998,0.0032861942408200367
30,1.38942392826,0.006432294570676807
31,1.3695869887599998,0.0014669295697653678
32,1.3593548193400002,0.0006562034895781312
33,1.3485775115399998,0.0002726587606606404
34,1.33935786238,0.00011533003753012755
35,1.3283887964,4.5464522043510183e-05
36,1.3192905121399998,2.687783335337521e-05
37,1.33233104586,0.00016870399107601008
38,1.34218908014,0.00033232771664763364
39,1.3423509269199998,0.000272246617182246
40,1.35216180444,0.0005419610250733673
41,1.36212171006,0.001205190050079788
42,1.3721333144,0.002546011421803126
43,1.38214110058,0.004988354944195869
44,1.39231871066,0.008842605247921199
45,1.4021826952399998,0.014282308179823287
46,1.42230319422,0.029417065955535723
47,1.42230319422,0.029417065955535723
48,1.4020922342,0.014071279869052745
49,1.3924775807999998,0.008417829981968586
50,1.3822026049199998,0.0045218661834870374
51,1.37218890162,0.0021692717625766073
52,1.36214242602,0.0009574560451510222
53,1.3513538275402788,0.0004009914500617926
54,1.3470087117999996,0.000250167877307654
55,1.3422318129800002,0.00019867240214309272
56,1.3322308149400002,5.976663919763463e-05
57,1.33222879376,6.5134835084021e-05
58,1.33193447708,5.2838457656088724e-05
59,1.32217358062,5.905698622006223e-05
60,1.31226243492,1.1848772450465968e-05
